id,OCCUPANCY_DATE,ORGANIZATION_ID,ORGANIZATION_NAME,SHELTER_ID,SHELTER_GROUP,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,LOCATION_PROVINCE,PROGRAM_ID,PROGRAM_NAME
1078,2023-01-01,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1034,2023-01-02,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1070,2023-01-03,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1098,2023-01-04,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1009,2023-01-05,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1079,2023-01-06,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1067,2023-01-07,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1039,2023-01-08,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1058,2023-01-09,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1069,2023-01-10,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1024,2023-01-11,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1003,2023-01-12,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1040,2023-01-13,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1015,2023-01-14,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1086,2023-01-15,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1062,2023-01-16,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1086,2023-01-17,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1014,2023-01-18,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1002,2023-01-19,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1000,2023-01-20,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1036,2023-01-21,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1069,2023-01-22,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1042,2023-01-23,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1077,2023-01-24,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1068,2023-01-25,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1021,2023-01-26,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1067,2023-01-27,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1005,2023-01-28,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1095,2023-01-29,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1079,2023-01-30,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1010,2023-01-31,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1085,2023-02-01,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1066,2023-02-02,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1044,2023-02-03,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1056,2023-02-04,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1007,2023-02-05,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1047,2023-02-06,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1024,2023-02-07,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1012,2023-02-08,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1091,2023-02-09,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1015,2023-02-10,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1041,2023-02-11,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1087,2023-02-12,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1026,2023-02-13,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1029,2023-02-14,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1009,2023-02-15,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1003,2023-02-16,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1088,2023-02-17,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1014,2023-02-18,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1086,2023-02-19,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1034,2023-02-20,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1084,2023-02-21,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1033,2023-02-22,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1095,2023-02-23,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1046,2023-02-24,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1038,2023-02-25,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1056,2023-02-26,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1023,2023-02-27,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1034,2023-02-28,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1009,2023-03-01,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1000,2023-03-02,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1066,2023-03-03,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1049,2023-03-04,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1004,2023-03-05,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1048,2023-03-06,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1100,2023-03-07,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1061,2023-03-08,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1089,2023-03-09,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1047,2023-03-10,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1065,2023-03-11,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1071,2023-03-12,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1034,2023-03-13,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1022,2023-03-14,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1041,2023-03-15,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1030,2023-03-16,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1091,2023-03-17,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1044,2023-03-18,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1083,2023-03-19,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1039,2023-03-20,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1033,2023-03-21,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1005,2023-03-22,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1090,2023-03-23,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1086,2023-03-24,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1100,2023-03-25,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1022,2023-03-26,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1007,2023-03-27,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1012,2023-03-28,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1004,2023-03-29,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1003,2023-03-30,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1075,2023-03-31,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1037,2023-04-01,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1089,2023-04-02,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1085,2023-04-03,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1008,2023-04-04,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1089,2023-04-05,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1084,2023-04-06,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1074,2023-04-07,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1024,2023-04-08,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1041,2023-04-09,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1029,2023-04-10,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1089,2023-04-11,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1000,2023-04-12,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1063,2023-04-13,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1001,2023-04-14,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1019,2023-04-15,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1069,2023-04-16,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1036,2023-04-17,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1043,2023-04-18,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1031,2023-04-19,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1064,2023-04-20,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1033,2023-04-21,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1081,2023-04-22,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1089,2023-04-23,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1037,2023-04-24,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1037,2023-04-25,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1000,2023-04-26,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1009,2023-04-27,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1046,2023-04-28,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1020,2023-04-29,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1080,2023-04-30,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1038,2023-05-01,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
1095,2023-05-02,1080,Org 1,2709,Shelter Group B,5063,Location 3,456 Avenue,M5B 3F1,North York,Ontario,4037,Program A
