Division,Sector,Program Model,Overnight service type,Program Area
1,Women,Emergency,Motel/Hotel,COVID-19 Response
2,Mixed Adult,Emergency,Warming Centre,COVID-19 Response
3,Men,Transitional,Shelter,COVID-19 Response
4,Youth,Transitional,Isolation/Recovery Site,Temporary Refugee Response
5,Women,Transitional,Warming Centre,COVID-19 Response
6,Mixed Adult,Transitional,24-Hour Respite,COVID-19 Response
7,Mixed Adult,Emergency,Isolation/Recovery Site,COVID-19 Response
8,Men,Transitional,Interim Housing,Base Program - Refugee
9,Family,Emergency,Interim Housing,Base Shelter and Overnight Services System
10,Women,Emergency,Warming Centre,Temporary Refugee Response
11,Family,Transitional,24-Hour Women's Drop-in,Temporary Refugee Response
12,Youth,Transitional,Interim Housing,Winter Response
13,Men,Emergency,24-Hour Women's Drop-in,COVID-19 Response
14,Women,Transitional,Warming Centre,Base Program - Refugee
15,Mixed Adult,Emergency,Interim Housing,Base Shelter and Overnight Services System
16,Family,Transitional,Isolation/Recovery Site,Base Program - Refugee
17,Mixed Adult,Emergency,24-Hour Respite,Base Shelter and Overnight Services System
18,Women,Emergency,Motel/Hotel,Winter Response
19,Men,Emergency,24-Hour Respite,Base Shelter and Overnight Services System
20,Family,Emergency,Interim Housing,Winter Response
21,Men,Transitional,24-Hour Respite,Base Program - Refugee
22,Family,Emergency,Interim Housing,Base Shelter and Overnight Services System
23,Men,Transitional,Shelter,Base Shelter and Overnight Services System
24,Men,Emergency,Warming Centre,Base Shelter and Overnight Services System
25,Women,Emergency,Motel/Hotel,COVID-19 Response
26,Youth,Emergency,Interim Housing,COVID-19 Response
27,Men,Emergency,Interim Housing,Base Program - Refugee
28,Women,Emergency,Interim Housing,Winter Response
29,Women,Emergency,Shelter,Base Shelter and Overnight Services System
30,Family,Transitional,24-Hour Respite,Winter Response
31,Men,Transitional,24-Hour Respite,Base Program - Refugee
32,Mixed Adult,Transitional,Warming Centre,Temporary Refugee Response
33,Women,Emergency,24-Hour Respite,Base Shelter and Overnight Services System
34,Women,Transitional,Motel/Hotel,Base Shelter and Overnight Services System
35,Youth,Transitional,Isolation/Recovery Site,Base Shelter and Overnight Services System
36,Mixed Adult,Transitional,Isolation/Recovery Site,COVID-19 Response
37,Mixed Adult,Emergency,Motel/Hotel,Winter Response
38,Men,Emergency,24-Hour Respite,Base Shelter and Overnight Services System
39,Women,Transitional,24-Hour Respite,Winter Response
40,Women,Transitional,24-Hour Respite,Base Shelter and Overnight Services System
41,Women,Emergency,Isolation/Recovery Site,COVID-19 Response
