date,shelter,capacity_actual_bed,capacity_funding_bed,occupied_bed,unoccupied_beds,unavailable_beds,capacity_actual_room,capacity_funding_room,occupied_rooms,unoccupied_rooms,unavailable_rooms,occupancy_rate_bed,occupancy_rate_rooms,service_user_count
2023-01-01,Shelter 1,129,147,25,104,18,131,141,17,114,10,0.1937984496124031,0.1297709923664122,42
2023-01-02,Shelter 1,139,142,29,110,3,127,146,24,103,19,0.20863309352517986,0.1889763779527559,53
2023-01-03,Shelter 1,109,147,26,83,38,113,150,15,98,37,0.23853211009174313,0.13274336283185842,41
2023-01-04,Shelter 1,110,141,34,76,31,114,149,18,96,35,0.3090909090909091,0.15789473684210525,52
2023-01-05,Shelter 1,137,146,27,110,9,102,143,10,92,41,0.19708029197080293,0.09803921568627451,37
2023-01-06,Shelter 1,116,150,26,90,34,113,145,16,97,32,0.22413793103448276,0.1415929203539823,42
2023-01-07,Shelter 1,135,142,30,105,7,129,144,15,114,15,0.2222222222222222,0.11627906976744186,45
2023-01-08,Shelter 1,109,144,19,90,35,139,145,21,118,6,0.1743119266055046,0.1510791366906475,40
2023-01-09,Shelter 1,126,144,25,101,18,100,141,19,81,41,0.1984126984126984,0.19,44
2023-01-10,Shelter 1,131,149,22,109,18,117,141,19,98,24,0.16793893129770993,0.1623931623931624,41
2023-01-11,Shelter 1,134,147,40,94,13,120,141,25,95,21,0.29850746268656714,0.20833333333333334,65
2023-01-12,Shelter 1,123,149,20,103,26,129,146,14,115,17,0.16260162601626016,0.10852713178294573,34
2023-01-13,Shelter 1,123,143,39,84,20,110,140,29,81,30,0.3170731707317073,0.2636363636363636,68
2023-01-14,Shelter 1,113,146,45,68,33,112,149,18,94,37,0.39823008849557523,0.16071428571428573,63
2023-01-15,Shelter 1,140,143,31,109,3,124,143,19,105,19,0.22142857142857142,0.1532258064516129,50
2023-01-16,Shelter 1,125,142,29,96,17,102,144,22,80,42,0.232,0.21568627450980393,51
2023-01-17,Shelter 1,128,140,30,98,12,108,140,18,90,32,0.234375,0.16666666666666666,48
2023-01-18,Shelter 1,108,147,26,82,39,106,145,22,84,39,0.24074074074074073,0.20754716981132076,48
2023-01-19,Shelter 1,125,148,31,94,23,131,147,29,102,16,0.248,0.22137404580152673,60
2023-01-20,Shelter 1,123,143,28,95,20,110,146,24,86,36,0.22764227642276422,0.21818181818181817,52
2023-01-21,Shelter 1,105,141,42,63,36,118,147,26,92,29,0.4,0.22033898305084745,68
2023-01-22,Shelter 1,114,140,38,76,26,121,145,15,106,24,0.3333333333333333,0.12396694214876033,53
2023-01-23,Shelter 1,121,140,33,88,19,115,143,20,95,28,0.2727272727272727,0.17391304347826086,53
2023-01-24,Shelter 1,112,141,37,75,29,114,147,31,83,33,0.33035714285714285,0.2719298245614035,68
2023-01-25,Shelter 1,126,140,24,102,14,100,142,20,80,42,0.19047619047619047,0.2,44
2023-01-26,Shelter 1,129,149,41,88,20,127,142,24,103,15,0.3178294573643411,0.1889763779527559,65
2023-01-27,Shelter 1,117,144,31,86,27,124,149,25,99,25,0.26495726495726496,0.20161290322580644,56
2023-01-28,Shelter 1,115,148,43,72,33,138,140,11,127,2,0.3739130434782609,0.07971014492753623,54
2023-01-29,Shelter 1,129,143,30,99,14,130,145,14,116,15,0.23255813953488372,0.1076923076923077,44
2023-01-30,Shelter 1,116,146,34,82,30,118,142,26,92,24,0.29310344827586204,0.22033898305084745,60
2023-01-31,Shelter 1,120,145,18,102,25,126,146,17,109,20,0.15,0.1349206349206349,35
2023-02-01,Shelter 1,140,150,31,109,10,125,141,21,104,16,0.22142857142857142,0.168,52
2023-02-02,Shelter 1,103,141,27,76,38,110,141,12,98,31,0.2621359223300971,0.10909090909090909,39
2023-02-03,Shelter 1,121,149,33,88,28,111,141,20,91,30,0.2727272727272727,0.18018018018018017,53
2023-02-04,Shelter 1,133,148,25,108,15,127,140,9,118,13,0.18796992481203006,0.07086614173228346,34
2023-02-05,Shelter 1,124,143,34,90,19,109,146,23,86,37,0.27419354838709675,0.21100917431192662,57
2023-02-06,Shelter 1,118,148,30,88,30,136,145,17,119,9,0.2542372881355932,0.125,47
2023-02-07,Shelter 1,117,143,27,90,26,126,149,16,110,23,0.23076923076923078,0.12698412698412698,43
2023-02-08,Shelter 1,125,150,34,91,25,108,148,22,86,40,0.272,0.2037037037037037,56
2023-02-09,Shelter 1,118,145,26,92,27,124,147,16,108,23,0.22033898305084745,0.12903225806451613,42
2023-02-10,Shelter 1,122,142,33,89,20,114,148,19,95,34,0.27049180327868855,0.16666666666666666,52
2023-02-11,Shelter 1,132,147,35,97,15,122,145,15,107,23,0.26515151515151514,0.12295081967213115,50
2023-02-12,Shelter 1,121,141,33,88,20,129,150,21,108,21,0.2727272727272727,0.16279069767441862,54
2023-02-13,Shelter 1,107,146,31,76,39,106,146,31,75,40,0.2897196261682243,0.29245283018867924,62
2023-02-14,Shelter 1,101,149,30,71,48,138,141,18,120,3,0.297029702970297,0.13043478260869565,48
2023-02-15,Shelter 1,109,146,27,82,37,132,141,21,111,9,0.24770642201834864,0.1590909090909091,48
2023-02-16,Shelter 1,111,140,32,79,29,111,145,24,87,34,0.2882882882882883,0.21621621621621623,56
2023-02-17,Shelter 1,109,147,22,87,38,128,140,19,109,12,0.2018348623853211,0.1484375,41
2023-02-18,Shelter 1,128,143,29,99,15,118,150,18,100,32,0.2265625,0.15254237288135594,47
2023-02-19,Shelter 1,111,142,40,71,31,107,147,23,84,40,0.36036036036036034,0.21495327102803738,63
2023-02-20,Shelter 1,132,141,31,101,9,122,148,25,97,26,0.23484848484848486,0.20491803278688525,56
2023-02-21,Shelter 1,109,141,21,88,32,116,145,25,91,29,0.1926605504587156,0.21551724137931033,46
2023-02-22,Shelter 1,108,146,22,86,38,132,141,19,113,9,0.2037037037037037,0.14393939393939395,41
2023-02-23,Shelter 1,134,144,34,100,10,117,147,22,95,30,0.2537313432835821,0.18803418803418803,56
2023-02-24,Shelter 1,118,149,28,90,31,120,140,15,105,20,0.23728813559322035,0.125,43
2023-02-25,Shelter 1,110,141,33,77,31,107,147,26,81,40,0.3,0.24299065420560748,59
2023-02-26,Shelter 1,124,141,19,105,17,128,140,25,103,12,0.1532258064516129,0.1953125,44
2023-02-27,Shelter 1,116,140,25,91,24,113,146,20,93,33,0.21551724137931033,0.17699115044247787,45
2023-02-28,Shelter 1,100,141,25,75,41,123,143,22,101,20,0.25,0.17886178861788618,47
2023-03-01,Shelter 1,109,148,30,79,39,135,149,25,110,14,0.27522935779816515,0.18518518518518517,55
2023-03-02,Shelter 1,107,147,25,82,40,122,150,10,112,28,0.2336448598130841,0.08196721311475409,35
2023-03-03,Shelter 1,135,144,34,101,9,100,146,18,82,46,0.2518518518518518,0.18,52
2023-03-04,Shelter 1,134,148,21,113,14,137,141,22,115,4,0.15671641791044777,0.16058394160583941,43
2023-03-05,Shelter 1,137,145,31,106,8,111,144,27,84,33,0.22627737226277372,0.24324324324324326,58
2023-03-06,Shelter 1,130,147,31,99,17,134,140,21,113,6,0.23846153846153847,0.15671641791044777,52
2023-03-07,Shelter 1,101,144,29,72,43,112,141,17,95,29,0.2871287128712871,0.15178571428571427,46
2023-03-08,Shelter 1,139,142,23,116,3,140,150,29,111,10,0.16546762589928057,0.20714285714285716,52
2023-03-09,Shelter 1,137,141,30,107,4,119,140,22,97,21,0.21897810218978103,0.18487394957983194,52
2023-03-10,Shelter 1,137,149,35,102,12,118,148,19,99,30,0.25547445255474455,0.16101694915254236,54
2023-03-11,Shelter 1,113,145,40,73,32,129,150,22,107,21,0.35398230088495575,0.17054263565891473,62
2023-03-12,Shelter 1,121,143,27,94,22,130,147,21,109,17,0.2231404958677686,0.16153846153846155,48
2023-03-13,Shelter 1,108,149,25,83,41,117,141,20,97,24,0.23148148148148148,0.17094017094017094,45
2023-03-14,Shelter 1,107,147,34,73,40,129,140,22,107,11,0.3177570093457944,0.17054263565891473,56
2023-03-15,Shelter 1,111,148,22,89,37,107,140,14,93,33,0.1981981981981982,0.1308411214953271,36
2023-03-16,Shelter 1,133,145,36,97,12,111,150,22,89,39,0.2706766917293233,0.1981981981981982,58
2023-03-17,Shelter 1,103,146,24,79,43,139,145,26,113,6,0.23300970873786409,0.18705035971223022,50
2023-03-18,Shelter 1,129,148,33,96,19,107,149,26,81,42,0.2558139534883721,0.24299065420560748,59
2023-03-19,Shelter 1,120,150,26,94,30,100,142,26,74,42,0.21666666666666667,0.26,52
2023-03-20,Shelter 1,105,148,29,76,43,135,147,24,111,12,0.2761904761904762,0.17777777777777778,53
2023-03-21,Shelter 1,119,143,21,98,24,126,140,21,105,14,0.17647058823529413,0.16666666666666666,42
2023-03-22,Shelter 1,114,146,24,90,32,130,142,21,109,12,0.21052631578947367,0.16153846153846155,45
2023-03-23,Shelter 1,120,143,30,90,23,123,140,20,103,17,0.25,0.16260162601626016,50
2023-03-24,Shelter 1,103,143,34,69,40,117,148,19,98,31,0.3300970873786408,0.1623931623931624,53
2023-03-25,Shelter 1,139,146,23,116,7,103,142,17,86,39,0.16546762589928057,0.1650485436893204,40
2023-03-26,Shelter 1,127,148,23,104,21,102,142,22,80,40,0.18110236220472442,0.21568627450980393,45
2023-03-27,Shelter 1,107,147,28,79,40,113,140,24,89,27,0.2616822429906542,0.21238938053097345,52
2023-03-28,Shelter 1,114,149,37,77,35,119,150,21,98,31,0.32456140350877194,0.17647058823529413,58
2023-03-29,Shelter 1,110,144,38,72,34,111,141,18,93,30,0.34545454545454546,0.16216216216216217,56
2023-03-30,Shelter 1,100,141,29,71,41,136,147,21,115,11,0.29,0.15441176470588236,50
2023-03-31,Shelter 1,112,149,37,75,37,131,148,17,114,17,0.33035714285714285,0.1297709923664122,54
2023-04-01,Shelter 1,123,143,28,95,20,114,140,11,103,26,0.22764227642276422,0.09649122807017543,39
2023-04-02,Shelter 1,118,145,39,79,27,121,148,16,105,27,0.3305084745762712,0.1322314049586777,55
2023-04-03,Shelter 1,105,140,23,82,35,106,145,28,78,39,0.21904761904761905,0.2641509433962264,51
2023-04-04,Shelter 1,134,142,34,100,8,138,145,17,121,7,0.2537313432835821,0.12318840579710146,51
2023-04-05,Shelter 1,110,147,25,85,37,107,145,24,83,38,0.22727272727272727,0.22429906542056074,49
2023-04-06,Shelter 1,116,142,36,80,26,119,150,19,100,31,0.3103448275862069,0.15966386554621848,55
2023-04-07,Shelter 1,111,150,34,77,39,134,144,18,116,10,0.3063063063063063,0.13432835820895522,52
2023-04-08,Shelter 1,103,150,36,67,47,115,146,22,93,31,0.34951456310679613,0.19130434782608696,58
2023-04-09,Shelter 1,100,142,31,69,42,140,144,22,118,4,0.31,0.15714285714285714,53
2023-04-10,Shelter 1,109,143,35,74,34,140,148,22,118,8,0.3211009174311927,0.15714285714285714,57
2023-04-11,Shelter 1,104,142,23,81,38,115,149,23,92,34,0.22115384615384615,0.2,46
2023-04-12,Shelter 1,132,150,36,96,18,132,150,15,117,18,0.2727272727272727,0.11363636363636363,51
2023-04-13,Shelter 1,126,142,23,103,16,120,146,34,86,26,0.18253968253968253,0.2833333333333333,57
